Dataset-Quantity-metrics,Moment(zero),Timer(zero),TTM(zero),UniTS(zero),GPT4TS(few),Moment(few),Timer(few),TTM(few),UniTS(few),UniTime(few),GPT4TS(full),Moment(full),Timer(full),TTM(full),UniTS(full),UniTime(full)
contact-text,,,,,,,,,,,,,,,,
contact-url,,,,,,,,,,,,,,,,
paper-url,https://openreview.net/pdf?id=FVvf69a5rx,https://openreview.net/pdf?id=bYRYb7DMNo,https://arxiv.org/pdf/2401.03955,https://arxiv.org/pdf/2403.00131,https://openreview.net/pdf?id=gMS6FVZvmF,https://openreview.net/pdf?id=FVvf69a5rx,https://openreview.net/pdf?id=bYRYb7DMNo,https://arxiv.org/pdf/2401.03955,https://arxiv.org/pdf/2403.00131,https://dl.acm.org/doi/pdf/10.1145/3589334.3645434,https://openreview.net/pdf?id=gMS6FVZvmF,https://openreview.net/pdf?id=FVvf69a5rx,https://openreview.net/pdf?id=bYRYb7DMNo,https://arxiv.org/pdf/2401.03955,https://arxiv.org/pdf/2403.00131,https://dl.acm.org/doi/pdf/10.1145/3589334.3645434
code-url,,,,,,,,,,,,,,,,
publication,ICML,ICML,arXiv,arXiv,NeurIPS,ICML,ICML,arXiv,arXiv,WWW,NeurIPS,ICML,ICML,arXiv,arXiv,WWW
bib,https://dblp.org/rec/conf/icml/GoswamiSCCLD24.html?view=bibtex,https://dblp.uni-trier.de/rec/conf/icml/LiuZLH0L24.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2401-03955.html?view=bibtex,https://scholar.googleusercontent.com/scholar.bib?q=info:VXWdEeZz2SIJ:scholar.google.com/&output=citation&scisdr=ClFiJnEVEMDnjOYICmc:AFWwaeYAAAAAZ1AOEmcVephcxB70IEvJ0gn57_4&scisig=AFWwaeYAAAAAZ1AOEqyCZqhGaBcJAZ2GBgWxTjk&scisf=4&ct=citation&cd=-1&hl=zh-CN,https://dblp.org/rec/conf/nips/ZhouNW0023.html?view=bibtex,https://dblp.org/rec/conf/icml/GoswamiSCCLD24.html?view=bibtex,https://dblp.uni-trier.de/rec/conf/icml/LiuZLH0L24.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2401-03955.html?view=bibtex,https://scholar.googleusercontent.com/scholar.bib?q=info:VXWdEeZz2SIJ:scholar.google.com/&output=citation&scisdr=ClFiJnEVEMDnjOYICmc:AFWwaeYAAAAAZ1AOEmcVephcxB70IEvJ0gn57_4&scisig=AFWwaeYAAAAAZ1AOEqyCZqhGaBcJAZ2GBgWxTjk&scisf=4&ct=citation&cd=-1&hl=zh-CN,https://dblp.org/rec/conf/www/LiuHLDLHZ24.html?view=bibtex,https://dblp.org/rec/conf/nips/ZhouNW0023.html?view=bibtex,https://dblp.org/rec/conf/icml/GoswamiSCCLD24.html?view=bibtex,https://dblp.uni-trier.de/rec/conf/icml/LiuZLH0L24.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2401-03955.html?view=bibtex,https://scholar.googleusercontent.com/scholar.bib?q=info:VXWdEeZz2SIJ:scholar.google.com/&output=citation&scisdr=ClFiJnEVEMDnjOYICmc:AFWwaeYAAAAAZ1AOEmcVephcxB70IEvJ0gn57_4&scisig=AFWwaeYAAAAAZ1AOEqyCZqhGaBcJAZ2GBgWxTjk&scisf=4&ct=citation&cd=-1&hl=zh-CN,https://dblp.org/rec/conf/www/LiuHLDLHZ24.html?view=bibtex
year,2024,2024,2024,2024,2023,2024,2024,2024,2024,2024,2023,2024,2024,2024,2024,2024
parameters,,,,,,,,,,,,,,,,
Application Server/ASD-96-A-P,0.111496732,0.118329006,0.141137696,0.118007962,0.15913224,0.115779372,0.1333011,0.149593793,0.119482854,0.124576468,0.166456997,0.114404134,0.136308924,0.170050148,0.139906446,0.185083621
Application Server/ASD-96-A-R,0.626296673,0.590593361,0.614047045,0.679812252,0.734339528,0.638278966,0.621949828,0.627426505,0.677096468,0.616697896,0.72613489,0.629851417,0.632062355,0.664725147,0.675591769,0.769224427
