Dataset-Quantity-metrics,Moment(zero),Timer(zero),TTM(zero),UniTS(zero),GPT4TS(few),Moment(few),Timer(few),TTM(few),UniTS(few),UniTime(few),GPT4TS(full),Moment(full),Timer(full),TTM(full),UniTS(full),UniTime(full)
contact-text,,,,,,,,,,,,,,,,
contact-url,,,,,,,,,,,,,,,,
paper-url,https://openreview.net/pdf?id=FVvf69a5rx,https://openreview.net/pdf?id=bYRYb7DMNo,https://arxiv.org/pdf/2401.03955,https://arxiv.org/pdf/2403.00131,https://openreview.net/pdf?id=gMS6FVZvmF,https://openreview.net/pdf?id=FVvf69a5rx,https://openreview.net/pdf?id=bYRYb7DMNo,https://arxiv.org/pdf/2401.03955,https://arxiv.org/pdf/2403.00131,https://dl.acm.org/doi/pdf/10.1145/3589334.3645434,https://openreview.net/pdf?id=gMS6FVZvmF,https://openreview.net/pdf?id=FVvf69a5rx,https://openreview.net/pdf?id=bYRYb7DMNo,https://arxiv.org/pdf/2401.03955,https://arxiv.org/pdf/2403.00131,https://dl.acm.org/doi/pdf/10.1145/3589334.3645434
code-url,,,,,,,,,,,,,,,,
publication,ICML,ICML,arXiv,arXiv,NeurIPS,ICML,ICML,arXiv,arXiv,WWW,NeurIPS,ICML,ICML,arXiv,arXiv,WWW
bib,https://dblp.org/rec/conf/icml/GoswamiSCCLD24.html?view=bibtex,https://dblp.uni-trier.de/rec/conf/icml/LiuZLH0L24.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2401-03955.html?view=bibtex,https://scholar.googleusercontent.com/scholar.bib?q=info:VXWdEeZz2SIJ:scholar.google.com/&output=citation&scisdr=ClFiJnEVEMDnjOYICmc:AFWwaeYAAAAAZ1AOEmcVephcxB70IEvJ0gn57_4&scisig=AFWwaeYAAAAAZ1AOEqyCZqhGaBcJAZ2GBgWxTjk&scisf=4&ct=citation&cd=-1&hl=zh-CN,https://dblp.org/rec/conf/nips/ZhouNW0023.html?view=bibtex,https://dblp.org/rec/conf/icml/GoswamiSCCLD24.html?view=bibtex,https://dblp.uni-trier.de/rec/conf/icml/LiuZLH0L24.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2401-03955.html?view=bibtex,https://scholar.googleusercontent.com/scholar.bib?q=info:VXWdEeZz2SIJ:scholar.google.com/&output=citation&scisdr=ClFiJnEVEMDnjOYICmc:AFWwaeYAAAAAZ1AOEmcVephcxB70IEvJ0gn57_4&scisig=AFWwaeYAAAAAZ1AOEqyCZqhGaBcJAZ2GBgWxTjk&scisf=4&ct=citation&cd=-1&hl=zh-CN,https://dblp.org/rec/conf/www/LiuHLDLHZ24.html?view=bibtex,https://dblp.org/rec/conf/nips/ZhouNW0023.html?view=bibtex,https://dblp.org/rec/conf/icml/GoswamiSCCLD24.html?view=bibtex,https://dblp.uni-trier.de/rec/conf/icml/LiuZLH0L24.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2401-03955.html?view=bibtex,https://scholar.googleusercontent.com/scholar.bib?q=info:VXWdEeZz2SIJ:scholar.google.com/&output=citation&scisdr=ClFiJnEVEMDnjOYICmc:AFWwaeYAAAAAZ1AOEmcVephcxB70IEvJ0gn57_4&scisig=AFWwaeYAAAAAZ1AOEqyCZqhGaBcJAZ2GBgWxTjk&scisf=4&ct=citation&cd=-1&hl=zh-CN,https://dblp.org/rec/conf/www/LiuHLDLHZ24.html?view=bibtex
year,2024,2024,2024,2024,2023,2024,2024,2024,2024,2024,2023,2024,2024,2024,2024,2024
parameters,,,,,,,,,,,,,,,,
AIOps/GAIA-96-A-P,0.462653199,0.239888416,0.412443313,0.374889926,0.376961658,0.454735905,0.463946577,0.409723226,0.378171768,0.412175504,0.445537182,0.460297657,0.475417115,0.419678991,0.380934204,0.471525287
AIOps/GAIA-96-A-R,0.803153786,0.657426597,0.742087675,0.776245859,0.757669364,0.80330878,0.808903615,0.745949596,0.777138627,0.801839846,0.767943887,0.811718792,0.804853682,0.773720306,0.783214026,0.810198894
