Dataset-Quantity-metrics,Anomaly Transformer,AE,DAGMM,DCdetector,DLinear,DeepPoint,DualTF,Isolation Forest,LSTM,ModernTCN,NLinear,PatchTST,TimesNet,TranAD,VAE,HBOS,iTransformer,KNN,LODA,LOF,OCSVM,PCA,GPT4TS,Moment,Timer,TTM,UniTS,UniTime
contact-text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper-url,https://arxiv.org/pdf/2110.02642,https://dl.acm.org/doi/10.1145/2689746.2689747,https://openreview.net/pdf?id=BJJLHbb0-,https://arxiv.org/pdf/2306.10347,https://ojs.aaai.org/index.php/AAAI/article/view/26317,https://arxiv.org/pdf/2109.09265,https://dl.acm.org/doi/pdf/10.1145/3589334.3645556,https://cs.nju.edu.cn/zhouzh/zhouzh.files/publication/icdm08b.pdf?q=isolation-forest,https://arxiv.org/pdf/2109.09265,https://openreview.net/pdf?id=vpJMJerXHU,https://ojs.aaai.org/index.php/AAAI/article/view/26317,https://openreview.net/pdf?id=Jbdc0vTOcol,https://arxiv.org/pdf/2210.02186v2/1000,https://arxiv.org/pdf/2201.07284,https://arxiv.org/abs/1312.6114,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=954d63876336b9b9e04dfd41dea8414d4c67f196#page=65,https://arxiv.org/pdf/2310.06625,https://dl.acm.org/doi/pdf/10.1145/342009.335437,https://link.springer.com/content/pdf/10.1007/s10994-015-5521-0.pdf,https://dl.acm.org/doi/pdf/10.1145/342009.335388,https://proceedings.neurips.cc/paper_files/paper/1999/file/8725fb777f25776ffa9076e44fcfd776-Paper.pdf,https://neuro.bstu.by/ai/To-dom/My_research/Paper-0-again/For-research/D-mining/Anomaly-D/KDD-cup-99/NN/ICDM03_WS.pdf,https://openreview.net/pdf?id=gMS6FVZvmF,https://openreview.net/pdf?id=FVvf69a5rx,https://openreview.net/pdf?id=bYRYb7DMNo,https://arxiv.org/pdf/2401.03955,https://arxiv.org/pdf/2403.00131,https://dl.acm.org/doi/pdf/10.1145/3589334.3645434
code-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,
publication,ICLR,MLSDA,ICLR,KDD,AAAI,arXiv,WWW,ICDM,arXiv,ICLR,AAAI,ICLR,ICLR,VLDB,ICLR,KI,ICLR,SIGMOD,Mach. Learn.,SIGMOD,NIPS,IEEE,NeurIPS,ICML,ICML,arXiv,arXiv,WWW
bib,https://dblp.org/rec/conf/iclr/XuWWL22.html?view=bibtex,https://dblp.org/rec/conf/pricai/SakuradaY14.html?view=bibtex,https://dblp.org/rec/conf/iclr/ZongSMCLCC18.html?view=bibtex,https://dblp.org/rec/conf/kdd/YangZZW023.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZengCZ023.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2109-09265.html?view=bibtex,https://dblp.org/rec/conf/www/NamYSBS0024.html?view=bibtex,https://dblp.org/rec/conf/icdm/LiuTZ08.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2109-09265.html?view=bibtex,https://dblp.org/rec/conf/iclr/LuoW24.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZengCZ023.html?view=bibtex,https://dblp.org/rec/conf/iclr/NieNSK23.html?view=bibtex,https://dblp.org/rec/conf/iclr/WuHLZ0L23.html?view=bibtex,https://dblp.org/rec/journals/pvldb/TuliCJ22.html?view=bibtex,https://dblp.org/rec/journals/corr/KingmaW13.html?view=bibtex,https://scholar.googleusercontent.com/scholar.bib?q=info:gPTMlkRjcF4J:scholar.google.com/&output=citation&scisdr=ClFiJnEWEMDnjPjF32U:AFWwaeYAAAAAZ07Dx2Ur-apQQrS0AKxL_4RoWD0&scisig=AFWwaeYAAAAAZ07Dx19ZHMP86EorbcSHaA3OmD8&scisf=4,https://dblp.org/rec/conf/iclr/LiuHZWWML24.html?view=bibtex,https://dblp.org/rec/conf/sigmod/RamaswamyRS00.html?view=bibtex,https://dblp.org/rec/journals/ml/Pevny16.html?view=bibtex,https://dblp.org/rec/conf/sigmod/BreunigKNS00.html?view=bibtex,https://dblp.org/rec/conf/nips/ScholkopfWSSP99.html?view=bibtex,https://usercontent.cljtscd.com/scholar.bib?q=info:jiTPoAYrCo8J:scholar.google.com/&output=citation&scisdr=ClFyNOCJGAA:AFWwaeYAAAAAZ07-1kSA3FirE2WtERiQyYmd_1Y&scisig=AFWwaeYAAAAAZ07-1hKYgqC3x5Z_trIj6WwqU7k&scisf=4&ct=citation&cd=-1&hl=en,https://dblp.org/rec/conf/nips/ZhouNW0023.html?view=bibtex,https://dblp.org/rec/conf/icml/GoswamiSCCLD24.html?view=bibtex,https://dblp.uni-trier.de/rec/conf/icml/LiuZLH0L24.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2401-03955.html?view=bibtex,https://scholar.googleusercontent.com/scholar.bib?q=info:VXWdEeZz2SIJ:scholar.google.com/&output=citation&scisdr=ClFiJnEVEMDnjOYICmc:AFWwaeYAAAAAZ1AOEmcVephcxB70IEvJ0gn57_4&scisig=AFWwaeYAAAAAZ1AOEqyCZqhGaBcJAZ2GBgWxTjk&scisf=4&ct=citation&cd=-1&hl=zh-CN,https://dblp.org/rec/conf/www/LiuHLDLHZ24.html?view=bibtex
year,2022,2014,2018,2023,2023,2021,2024,2008,2021,2024,2023,2023,2023,2022,2014,2012,2024,2000,2016,2000,1999,2003,2023,2024,2024,2024,2024,2024
parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Server/ASD-96-A-P,0.052121564,0.202969152,0.16912831,0.049451701,0.169873297,0.221503854,0.094819846,0.194532071,0.266535014,0.158337567,0.131783465,0.173946606,0.244617091,0.149253859,0.146653821,0.133324154,0.164294812,0.392653475,0.171383595,0.359605752,0.141989391,0.143953225,0.166456997,0.114404134,0.136308924,0.170050148,0.139906446,0.185083621
Application Server/ASD-96-A-R,0.506305744,0.703661439,0.668521073,0.519931981,0.739297629,0.613715259,0.57894724,0.618340753,0.671581048,0.692280955,0.690100136,0.75973416,0.804669572,0.634533453,0.596728247,0.603443881,0.758991903,0.812136677,0.640013418,0.791372114,0.587663851,0.655636733,0.72613489,0.629851417,0.632062355,0.664725147,0.675591769,0.769224427
