Dataset-Quantity-metrics,Anomaly Transformer,ARIMA,AE,DAGMM,DCdetector,DLinear,DeepPoint,DualTF,Isolation Forest,LSTM,ModernTCN,NLinear,PatchTST,SARIMA,Spectral Residual,StatThreshold,TimesNet,TranAD,VAE,ZMS,HBOS,iTransformer,KNN,LODA,LOF,OCSVM,PCA
contact-text,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact-url,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper-url,https://arxiv.org/pdf/2110.02642,https://www.google.com/books?lr=&id=_bBhDwAAQBAJ&oi=fnd&pg=PA7&dq=orecasting:+principles+and+practi&ots=TjhYveUKNH&sig=Vx6EzqIpnbWvbe-HOXS6U4EEFJo,https://dl.acm.org/doi/10.1145/2689746.2689747,https://openreview.net/pdf?id=BJJLHbb0-,https://arxiv.org/pdf/2306.10347,https://ojs.aaai.org/index.php/AAAI/article/view/26317,https://arxiv.org/pdf/2109.09265,https://dl.acm.org/doi/pdf/10.1145/3589334.3645556,https://cs.nju.edu.cn/zhouzh/zhouzh.files/publication/icdm08b.pdf?q=isolation-forest,https://arxiv.org/pdf/2109.09265,https://openreview.net/pdf?id=vpJMJerXHU,https://ojs.aaai.org/index.php/AAAI/article/view/26317,https://openreview.net/pdf?id=Jbdc0vTOcol,https://milets18.github.io/papers/milets18_paper_19.pdf,https://arxiv.org/pdf/1906.03821,https://arxiv.org/pdf/2109.09265,https://arxiv.org/pdf/2210.02186v2/1000,https://arxiv.org/pdf/2201.07284,https://arxiv.org/abs/1312.6114,https://arxiv.org/pdf/2109.09265,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=954d63876336b9b9e04dfd41dea8414d4c67f196#page=65,https://arxiv.org/pdf/2310.06625,https://dl.acm.org/doi/pdf/10.1145/342009.335437,https://link.springer.com/content/pdf/10.1007/s10994-015-5521-0.pdf,https://dl.acm.org/doi/pdf/10.1145/342009.335388,https://proceedings.neurips.cc/paper_files/paper/1999/file/8725fb777f25776ffa9076e44fcfd776-Paper.pdf,https://neuro.bstu.by/ai/To-dom/My_research/Paper-0-again/For-research/D-mining/Anomaly-D/KDD-cup-99/NN/ICDM03_WS.pdf
code-url,,,,,,,,,,,,,,,,,,,,,,,,,,,
publication,ICLR,OTexts,MLSDA,ICLR,KDD,AAAI,arXiv,WWW,ICDM,arXiv,ICLR,AAAI,ICLR,MiLeTS,KDD,arXiv,ICLR,VLDB,ICLR,arXiv,KI,ICLR,SIGMOD,Mach. Learn.,SIGMOD,NIPS,IEEE
bib,https://dblp.org/rec/conf/iclr/XuWWL22.html?view=bibtex,https://scholar.googleusercontent.com/scholar.bib?q=info:QamsSnE0lWMJ:scholar.google.com/&output=citation&scisdr=ClFiJnEWEMDnjPjD5so:AFWwaeYAAAAAZ07F_soO5tpqa-4pQoGW-5Ix_y4&scisig=AFWwaeYAAAAAZ07F_lgkoAhGyesWZQDCsuPQ87A&scisf=4&ct=citation&cd=-1&hl=zh-CN,https://dblp.org/rec/conf/pricai/SakuradaY14.html?view=bibtex,https://dblp.org/rec/conf/iclr/ZongSMCLCC18.html?view=bibtex,https://dblp.org/rec/conf/kdd/YangZZW023.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZengCZ023.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2109-09265.html?view=bibtex,https://dblp.org/rec/conf/www/NamYSBS0024.html?view=bibtex,https://dblp.org/rec/conf/icdm/LiuTZ08.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2109-09265.html?view=bibtex,https://dblp.org/rec/conf/iclr/LuoW24.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZengCZ023.html?view=bibtex,https://dblp.org/rec/conf/iclr/NieNSK23.html?view=bibtex,https://usercontent.cljtscd.com/scholar.bib?q=info:pjdbos7PcgMJ:scholar.google.com/&output=citation&scisdr=ClHzsvZ3GAA:AFWwaeYAAAAAZ07Ke2oWO0BVOHY3bP9Yx2l7InI&scisig=AFWwaeYAAAAAZ07Ke0jX2qzVJ4orUDaiNuSX6J8&scisf=4&ct=citation&cd=-1&hl=en,https://dblp.org/rec/conf/kdd/RenXWYHKXYTZ19.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2109-09265.html?view=bibtex,https://dblp.org/rec/conf/iclr/WuHLZ0L23.html?view=bibtex,https://dblp.org/rec/journals/pvldb/TuliCJ22.html?view=bibtex,https://dblp.org/rec/journals/corr/KingmaW13.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2109-09265.html?view=bibtex,https://scholar.googleusercontent.com/scholar.bib?q=info:gPTMlkRjcF4J:scholar.google.com/&output=citation&scisdr=ClFiJnEWEMDnjPjF32U:AFWwaeYAAAAAZ07Dx2Ur-apQQrS0AKxL_4RoWD0&scisig=AFWwaeYAAAAAZ07Dx19ZHMP86EorbcSHaA3OmD8&scisf=4,https://dblp.org/rec/conf/iclr/LiuHZWWML24.html?view=bibtex,https://dblp.org/rec/conf/sigmod/RamaswamyRS00.html?view=bibtex,https://dblp.org/rec/journals/ml/Pevny16.html?view=bibtex,https://dblp.org/rec/conf/sigmod/BreunigKNS00.html?view=bibtex,https://dblp.org/rec/conf/nips/ScholkopfWSSP99.html?view=bibtex,https://usercontent.cljtscd.com/scholar.bib?q=info:jiTPoAYrCo8J:scholar.google.com/&output=citation&scisdr=ClFyNOCJGAA:AFWwaeYAAAAAZ07-1kSA3FirE2WtERiQyYmd_1Y&scisig=AFWwaeYAAAAAZ07-1hKYgqC3x5Z_trIj6WwqU7k&scisf=4&ct=citation&cd=-1&hl=en
year,2022,2018,2014,2018,2023,2023,2021,2024,2008,2021,2024,2023,2023,2018,2019,2021,2023,2022,2014,2021,2012,2024,2000,2016,2000,1999,2003
parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIOps/GAIA-96-A-P,0.046639721,0.205072875,0.472220667,0.061149638,0.018229365,0.468005454,0.423696491,0.133804034,0.17729457,0.509148376,0.352450695,0.353711897,0.426020663,0.200877033,0.227690718,0.220897976,0.482536903,0.487301507,0.485427612,0.245512921,0.128267056,0.424444054,0.510149562,0.187255166,0.409327122,0.281072196,0.169890954
AIOps/GAIA-96-A-R,0.428303168,0.460867744,0.739662363,0.650871615,0.403970611,0.768630891,0.763706352,0.539054549,0.699050995,0.770424936,0.792788524,0.782752463,0.786012214,0.449813685,0.530682931,0.466256722,0.784780054,0.758533531,0.753220083,0.489967381,0.689490996,0.785977012,0.823796907,0.676118539,0.818417792,0.731032101,0.616805848
